,prompt,country,example,metric,gt_answer_avg,type
158,What is the government expenditure on education as a total percent of GDP for the country Turkiye?  Do not answer in a complete sentence - only provide the number!,Turkiye,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,3.427,education_expenditure
159,What is the government expenditure on education as a total percent of GDP for the country Tanzania?  Do not answer in a complete sentence - only provide the number!,Tanzania,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,3.195,education_expenditure
160,What is the government expenditure on education as a total percent of GDP for the country Uganda?  Do not answer in a complete sentence - only provide the number!,Uganda,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,2.59,education_expenditure
161,What is the government expenditure on education as a total percent of GDP for the country Ukraine?  Do not answer in a complete sentence - only provide the number!,Ukraine,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,5.562,education_expenditure
162,What is the government expenditure on education as a total percent of GDP for the country Uruguay?  Do not answer in a complete sentence - only provide the number!,Uruguay,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,4.442,education_expenditure
163,What is the government expenditure on education as a total percent of GDP for the country United States?  Do not answer in a complete sentence - only provide the number!,United States,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,5.435,education_expenditure
164,What is the government expenditure on education as a total percent of GDP for the country Uzbekistan?  Do not answer in a complete sentence - only provide the number!,Uzbekistan,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,5.2,education_expenditure
165,What is the government expenditure on education as a total percent of GDP for the country St. Vincent and the Grenadines?  Do not answer in a complete sentence - only provide the number!,St. Vincent and the Grenadines,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,5.464,education_expenditure
166,What is the government expenditure on education as a total percent of GDP for the country British Virgin Islands?  Do not answer in a complete sentence - only provide the number!,British Virgin Islands,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,2.73,education_expenditure
167,What is the government expenditure on education as a total percent of GDP for the country Viet Nam?  Do not answer in a complete sentence - only provide the number!,Viet Nam,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,3.021,education_expenditure
168,What is the government expenditure on education as a total percent of GDP for the country Vanuatu?  Do not answer in a complete sentence - only provide the number!,Vanuatu,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,2.174,education_expenditure
169,What is the government expenditure on education as a total percent of GDP for the country Samoa?  Do not answer in a complete sentence - only provide the number!,Samoa,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,4.481,education_expenditure
170,What is the government expenditure on education as a total percent of GDP for the country South Africa?  Do not answer in a complete sentence - only provide the number!,South Africa,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,6.31,education_expenditure
171,What is the government expenditure on education as a total percent of GDP for the country Zambia?  Do not answer in a complete sentence - only provide the number!,Zambia,"('What is the government expenditure on education as a total percent of GDP for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', 5.167991399765015)",government expenditure on education as a total percent of GDP,3.546,education_expenditure
0,What is the percent of the total population that has access to electricity for the country Aruba?  Do not answer in a complete sentence - only provide the number!,Aruba,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
1,What is the percent of the total population that has access to electricity for the country Africa Eastern and Southern?  Do not answer in a complete sentence - only provide the number!,Africa Eastern and Southern,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,47.186,electricity_access_percent
2,What is the percent of the total population that has access to electricity for the country Afghanistan?  Do not answer in a complete sentence - only provide the number!,Afghanistan,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,97.7,electricity_access_percent
3,What is the percent of the total population that has access to electricity for the country Angola?  Do not answer in a complete sentence - only provide the number!,Angola,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,47.59,electricity_access_percent
4,What is the percent of the total population that has access to electricity for the country Albania?  Do not answer in a complete sentence - only provide the number!,Albania,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
5,What is the percent of the total population that has access to electricity for the country Andorra?  Do not answer in a complete sentence - only provide the number!,Andorra,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
6,What is the percent of the total population that has access to electricity for the country United Arab Emirates?  Do not answer in a complete sentence - only provide the number!,United Arab Emirates,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
7,What is the percent of the total population that has access to electricity for the country Argentina?  Do not answer in a complete sentence - only provide the number!,Argentina,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
8,What is the percent of the total population that has access to electricity for the country Armenia?  Do not answer in a complete sentence - only provide the number!,Armenia,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
9,What is the percent of the total population that has access to electricity for the country Antigua and Barbuda?  Do not answer in a complete sentence - only provide the number!,Antigua and Barbuda,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
10,What is the percent of the total population that has access to electricity for the country Australia?  Do not answer in a complete sentence - only provide the number!,Australia,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
11,What is the percent of the total population that has access to electricity for the country Austria?  Do not answer in a complete sentence - only provide the number!,Austria,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
12,What is the percent of the total population that has access to electricity for the country Azerbaijan?  Do not answer in a complete sentence - only provide the number!,Azerbaijan,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
13,What is the percent of the total population that has access to electricity for the country Burundi?  Do not answer in a complete sentence - only provide the number!,Burundi,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,9.667,electricity_access_percent
14,What is the percent of the total population that has access to electricity for the country Belgium?  Do not answer in a complete sentence - only provide the number!,Belgium,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
15,What is the percent of the total population that has access to electricity for the country Benin?  Do not answer in a complete sentence - only provide the number!,Benin,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,41.48,electricity_access_percent
16,What is the percent of the total population that has access to electricity for the country Burkina Faso?  Do not answer in a complete sentence - only provide the number!,Burkina Faso,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,18.709,electricity_access_percent
17,What is the percent of the total population that has access to electricity for the country Bangladesh?  Do not answer in a complete sentence - only provide the number!,Bangladesh,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,97.596,electricity_access_percent
18,What is the percent of the total population that has access to electricity for the country Bulgaria?  Do not answer in a complete sentence - only provide the number!,Bulgaria,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,99.75,electricity_access_percent
19,What is the percent of the total population that has access to electricity for the country Bahrain?  Do not answer in a complete sentence - only provide the number!,Bahrain,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
20,"What is the percent of the total population that has access to electricity for the country Bahamas, The?  Do not answer in a complete sentence - only provide the number!","Bahamas, The","('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
21,What is the percent of the total population that has access to electricity for the country Bosnia and Herzegovina?  Do not answer in a complete sentence - only provide the number!,Bosnia and Herzegovina,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
22,What is the percent of the total population that has access to electricity for the country Belarus?  Do not answer in a complete sentence - only provide the number!,Belarus,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
23,What is the percent of the total population that has access to electricity for the country Belize?  Do not answer in a complete sentence - only provide the number!,Belize,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,97.25,electricity_access_percent
24,What is the percent of the total population that has access to electricity for the country Bermuda?  Do not answer in a complete sentence - only provide the number!,Bermuda,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
25,What is the percent of the total population that has access to electricity for the country Bolivia?  Do not answer in a complete sentence - only provide the number!,Bolivia,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,97.889,electricity_access_percent
26,What is the percent of the total population that has access to electricity for the country Brazil?  Do not answer in a complete sentence - only provide the number!,Brazil,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,99.582,electricity_access_percent
27,What is the percent of the total population that has access to electricity for the country Barbados?  Do not answer in a complete sentence - only provide the number!,Barbados,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
28,What is the percent of the total population that has access to electricity for the country Brunei Darussalam?  Do not answer in a complete sentence - only provide the number!,Brunei Darussalam,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
29,What is the percent of the total population that has access to electricity for the country Bhutan?  Do not answer in a complete sentence - only provide the number!,Bhutan,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
30,What is the percent of the total population that has access to electricity for the country Botswana?  Do not answer in a complete sentence - only provide the number!,Botswana,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,72.778,electricity_access_percent
31,What is the percent of the total population that has access to electricity for the country Central African Republic?  Do not answer in a complete sentence - only provide the number!,Central African Republic,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,15.543,electricity_access_percent
32,What is the percent of the total population that has access to electricity for the country Canada?  Do not answer in a complete sentence - only provide the number!,Canada,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
33,What is the percent of the total population that has access to electricity for the country Channel Islands?  Do not answer in a complete sentence - only provide the number!,Channel Islands,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
34,What is the percent of the total population that has access to electricity for the country Chile?  Do not answer in a complete sentence - only provide the number!,Chile,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
35,What is the percent of the total population that has access to electricity for the country China?  Do not answer in a complete sentence - only provide the number!,China,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
36,What is the percent of the total population that has access to electricity for the country Cote d'Ivoire?  Do not answer in a complete sentence - only provide the number!,Cote d'Ivoire,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,70.508,electricity_access_percent
37,What is the percent of the total population that has access to electricity for the country Cameroon?  Do not answer in a complete sentence - only provide the number!,Cameroon,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,64.879,electricity_access_percent
38,"What is the percent of the total population that has access to electricity for the country Congo, Dem. Rep.?  Do not answer in a complete sentence - only provide the number!","Congo, Dem. Rep.","('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,20.421,electricity_access_percent
39,"What is the percent of the total population that has access to electricity for the country Congo, Rep.?  Do not answer in a complete sentence - only provide the number!","Congo, Rep.","('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,49.168,electricity_access_percent
40,What is the percent of the total population that has access to electricity for the country Colombia?  Do not answer in a complete sentence - only provide the number!,Colombia,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,99.86,electricity_access_percent
41,What is the percent of the total population that has access to electricity for the country Comoros?  Do not answer in a complete sentence - only provide the number!,Comoros,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,86.789,electricity_access_percent
42,What is the percent of the total population that has access to electricity for the country Cabo Verde?  Do not answer in a complete sentence - only provide the number!,Cabo Verde,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,94.634,electricity_access_percent
43,What is the percent of the total population that has access to electricity for the country Costa Rica?  Do not answer in a complete sentence - only provide the number!,Costa Rica,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,99.95,electricity_access_percent
44,What is the percent of the total population that has access to electricity for the country Cuba?  Do not answer in a complete sentence - only provide the number!,Cuba,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,99.966,electricity_access_percent
45,What is the percent of the total population that has access to electricity for the country Curacao?  Do not answer in a complete sentence - only provide the number!,Curacao,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
46,What is the percent of the total population that has access to electricity for the country Cayman Islands?  Do not answer in a complete sentence - only provide the number!,Cayman Islands,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
47,What is the percent of the total population that has access to electricity for the country Cyprus?  Do not answer in a complete sentence - only provide the number!,Cyprus,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
48,What is the percent of the total population that has access to electricity for the country Czechia?  Do not answer in a complete sentence - only provide the number!,Czechia,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
49,What is the percent of the total population that has access to electricity for the country Germany?  Do not answer in a complete sentence - only provide the number!,Germany,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
50,What is the percent of the total population that has access to electricity for the country Djibouti?  Do not answer in a complete sentence - only provide the number!,Djibouti,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,64.971,electricity_access_percent
51,What is the percent of the total population that has access to electricity for the country Dominica?  Do not answer in a complete sentence - only provide the number!,Dominica,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,99.999,electricity_access_percent
52,What is the percent of the total population that has access to electricity for the country Denmark?  Do not answer in a complete sentence - only provide the number!,Denmark,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
53,What is the percent of the total population that has access to electricity for the country Dominican Republic?  Do not answer in a complete sentence - only provide the number!,Dominican Republic,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,99.05,electricity_access_percent
54,What is the percent of the total population that has access to electricity for the country Algeria?  Do not answer in a complete sentence - only provide the number!,Algeria,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,99.753,electricity_access_percent
55,What is the percent of the total population that has access to electricity for the country Ecuador?  Do not answer in a complete sentence - only provide the number!,Ecuador,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,99.425,electricity_access_percent
56,"What is the percent of the total population that has access to electricity for the country Egypt, Arab Rep.?  Do not answer in a complete sentence - only provide the number!","Egypt, Arab Rep.","('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
57,What is the percent of the total population that has access to electricity for the country Eritrea?  Do not answer in a complete sentence - only provide the number!,Eritrea,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,51.953,electricity_access_percent
58,What is the percent of the total population that has access to electricity for the country Spain?  Do not answer in a complete sentence - only provide the number!,Spain,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
59,What is the percent of the total population that has access to electricity for the country Estonia?  Do not answer in a complete sentence - only provide the number!,Estonia,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
60,What is the percent of the total population that has access to electricity for the country Ethiopia?  Do not answer in a complete sentence - only provide the number!,Ethiopia,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,52.667,electricity_access_percent
61,What is the percent of the total population that has access to electricity for the country Finland?  Do not answer in a complete sentence - only provide the number!,Finland,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
62,What is the percent of the total population that has access to electricity for the country Fiji?  Do not answer in a complete sentence - only provide the number!,Fiji,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,94.613,electricity_access_percent
63,What is the percent of the total population that has access to electricity for the country France?  Do not answer in a complete sentence - only provide the number!,France,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
64,What is the percent of the total population that has access to electricity for the country Faroe Islands?  Do not answer in a complete sentence - only provide the number!,Faroe Islands,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
65,"What is the percent of the total population that has access to electricity for the country Micronesia, Fed. Sts.?  Do not answer in a complete sentence - only provide the number!","Micronesia, Fed. Sts.","('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,82.74,electricity_access_percent
66,What is the percent of the total population that has access to electricity for the country Gabon?  Do not answer in a complete sentence - only provide the number!,Gabon,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,91.435,electricity_access_percent
67,What is the percent of the total population that has access to electricity for the country United Kingdom?  Do not answer in a complete sentence - only provide the number!,United Kingdom,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
68,What is the percent of the total population that has access to electricity for the country Georgia?  Do not answer in a complete sentence - only provide the number!,Georgia,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
69,What is the percent of the total population that has access to electricity for the country Ghana?  Do not answer in a complete sentence - only provide the number!,Ghana,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,85.87,electricity_access_percent
70,What is the percent of the total population that has access to electricity for the country Gibraltar?  Do not answer in a complete sentence - only provide the number!,Gibraltar,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
71,What is the percent of the total population that has access to electricity for the country Guinea?  Do not answer in a complete sentence - only provide the number!,Guinea,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,45.78,electricity_access_percent
72,"What is the percent of the total population that has access to electricity for the country Gambia, The?  Do not answer in a complete sentence - only provide the number!","Gambia, The","('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,62.966,electricity_access_percent
73,What is the percent of the total population that has access to electricity for the country Guinea-Bissau?  Do not answer in a complete sentence - only provide the number!,Guinea-Bissau,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,34.569,electricity_access_percent
74,What is the percent of the total population that has access to electricity for the country Equatorial Guinea?  Do not answer in a complete sentence - only provide the number!,Equatorial Guinea,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,66.733,electricity_access_percent
75,What is the percent of the total population that has access to electricity for the country Greece?  Do not answer in a complete sentence - only provide the number!,Greece,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
76,What is the percent of the total population that has access to electricity for the country Grenada?  Do not answer in a complete sentence - only provide the number!,Grenada,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,93.548,electricity_access_percent
77,What is the percent of the total population that has access to electricity for the country Greenland?  Do not answer in a complete sentence - only provide the number!,Greenland,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
78,What is the percent of the total population that has access to electricity for the country Guatemala?  Do not answer in a complete sentence - only provide the number!,Guatemala,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,97.257,electricity_access_percent
79,What is the percent of the total population that has access to electricity for the country Guam?  Do not answer in a complete sentence - only provide the number!,Guam,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
80,What is the percent of the total population that has access to electricity for the country Guyana?  Do not answer in a complete sentence - only provide the number!,Guyana,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,92.599,electricity_access_percent
81,"What is the percent of the total population that has access to electricity for the country Hong Kong SAR, China?  Do not answer in a complete sentence - only provide the number!","Hong Kong SAR, China","('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
82,What is the percent of the total population that has access to electricity for the country Honduras?  Do not answer in a complete sentence - only provide the number!,Honduras,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,93.61,electricity_access_percent
83,What is the percent of the total population that has access to electricity for the country Croatia?  Do not answer in a complete sentence - only provide the number!,Croatia,"('What is the percent of the total population that has access to electricity for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '100')",percent of the total population that has access to electricity,100.0,electricity_access_percent
